id,region,land,group,vote_type,count_type,votes,land_str
1,Flensburg – Schleswig,1,marxistisch.leninistischeparteideutschlands,zweitstimmen,endgueltig,59,Schleswig-Holstein
1,Flensburg – Schleswig,1,marxistisch.leninistischeparteideutschlands,zweitstimmen,vorperiode,44,Schleswig-Holstein
1,Flensburg – Schleswig,1,buendnisgrundeinkommen,zweitstimmen,endgueltig,843,Schleswig-Holstein
1,Flensburg – Schleswig,1,übrige,erststimmen,endgueltig,755,Schleswig-Holstein
1,Flensburg – Schleswig,1,übrige,zweitstimmen,vorperiode,790,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,wahlberechtigte,erststimmen,endgueltig,186568,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,wahlberechtigte,erststimmen,vorperiode,186177,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,wahlberechtigte,zweitstimmen,endgueltig,186568,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,wahlberechtigte,zweitstimmen,vorperiode,186177,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,waehler,erststimmen,endgueltig,139194,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,waehler,erststimmen,vorperiode,131527,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,waehler,zweitstimmen,endgueltig,139194,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,waehler,zweitstimmen,vorperiode,131527,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,ungueltige,erststimmen,endgueltig,1297,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,ungueltige,erststimmen,vorperiode,1648,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,ungueltige,zweitstimmen,endgueltig,1123,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,ungueltige,zweitstimmen,vorperiode,1483,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,gueltige,erststimmen,endgueltig,137897,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,gueltige,erststimmen,vorperiode,129879,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,gueltige,zweitstimmen,endgueltig,138071,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,gueltige,zweitstimmen,vorperiode,130044,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,christlichdemokratischeuniondeutschlands,erststimmen,endgueltig,62256,Schleswig-Holstein
